sitio,muestreo,fecha,id_variable,media,desvio,conteo
chacon,2,2023-01-30T00:00:00Z,pf_fr,35.640051020408166,5.895437289306491,600
la_consulta,2,2023-02-07T00:00:00Z,pf_fr,43.98080808080808,4.508354847042165,600
los_sauces,2,2023-01-25T00:00:00Z,pf_fr,45.30386,7.310812446286297,600
santa_florentina,2,2023-03-16T00:00:00Z,pf_fr,55.769999999999996,7.608196978976232,300
tilimuqui,2,2023-03-16T00:00:00Z,pf_fr,19.668,0.5190517308822391,450
trinidad,2,2023-01-25T00:00:00Z,pf_fr,33.3999,5.878799832373542,600
agua_amarga,3,2023-03-13T00:00:00Z,pf_fr,42.78867924528302,6.186859253677538,960
chacon,3,2023-02-27T00:00:00Z,pf_fr,37.51111111111111,5.853181788192668,600
la_consulta,3,2023-03-06T00:00:00Z,pf_fr,44.826388888888886,4.5627868226067445,600
los_sauces,3,2023-03-08T00:00:00Z,pf_fr,48.152,7.739310318562739,600
santa_florentina,3,2023-04-01T00:00:00Z,pf_fr,21.352,2.414790726729244,450
trinidad,3,2023-02-27T00:00:00Z,pf_fr,35.44651041666667,5.421572596490961,600
agua_amarga,4,2023-03-24T00:00:00Z,pf_fr,17.181200836820082,2.7181926040862665,1440
chacon,4,2023-04-10T00:00:00Z,pf_fr,11.608121212121212,2.8520109873899604,900
la_consulta,4,2023-04-13T00:00:00Z,pf_fr,16.126380952380952,2.293048033964691,900
los_sauces,4,2023-03-29T00:00:00Z,pf_fr,19.419999999999998,2.674939326514537,750
trinidad,4,2023-03-30T00:00:00Z,pf_fr,32.94137,10.017962763772244,600
trinidad,5,2023-04-24T00:00:00Z,pf_fr,9.91839,1.6488316548660773,1200
chacon,1,2022-12-26T00:00:00Z,pf_sem,NA,NA,600
los_sauces,1,2022-12-20T00:00:00Z,pf_sem,NA,NA,360
santa_florentina,1,2023-02-07T00:00:00Z,pf_sem,2.4868,0.5278504652952145,300
tilimuqui,1,2023-02-07T00:00:00Z,pf_sem,3.2618,0.2556513616805062,300
trinidad,1,2022-12-26T00:00:00Z,pf_sem,NA,NA,300
agua_amarga,2,2023-02-13T00:00:00Z,pf_sem,4.924375,0.7949066386245,960
chacon,2,2023-01-30T00:00:00Z,pf_sem,4.0833673469387755,0.7662897987230555,600
la_consulta,2,2023-02-07T00:00:00Z,pf_sem,5.086734693877551,0.6452506751268804,600
los_sauces,2,2023-01-25T00:00:00Z,pf_sem,4.85725,0.9543713584844583,600
santa_florentina,2,2023-03-16T00:00:00Z,pf_sem,5.3176,0.9091485082391353,300
tilimuqui,2,2023-03-16T00:00:00Z,pf_sem,13.93,0.19152418770644788,450
trinidad,2,2023-01-25T00:00:00Z,pf_sem,4.31756,1.1969051422167436,600
agua_amarga,3,2023-03-13T00:00:00Z,pf_sem,5.872327044025157,0.8048837251946229,960
chacon,3,2023-02-27T00:00:00Z,pf_sem,4.508219178082192,0.9193202281186659,600
la_consulta,3,2023-03-06T00:00:00Z,pf_sem,5.470833333333333,0.8048180033780836,600
los_sauces,3,2023-03-08T00:00:00Z,pf_sem,6.593939393939394,1.1292658913289753,600
santa_florentina,3,2023-04-01T00:00:00Z,pf_sem,NA,NA,450
trinidad,3,2023-02-27T00:00:00Z,pf_sem,4.668265306122449,0.8000018713845912,600
agua_amarga,4,2023-03-24T00:00:00Z,pf_sem,6.561985714285714,0.908879466836477,1440
chacon,4,2023-04-10T00:00:00Z,pf_sem,5.338,1.3197582630579356,900
la_consulta,4,2023-04-13T00:00:00Z,pf_sem,6.824,0.946474880454758,900
los_sauces,4,2023-03-29T00:00:00Z,pf_sem,7.24,0.940717722154696,750
trinidad,4,2023-03-30T00:00:00Z,pf_sem,5.54038,1.0702032043473415,600
trinidad,5,2023-04-24T00:00:00Z,pf_sem,4.0398,0.9179778124846193,1200
chacon,1,2022-12-26T00:00:00Z,ps_fr,4.9914619700000005,1.2092264437314693,600
los_sauces,1,2022-12-20T00:00:00Z,ps_fr,7.272658666666668,1.5602998922510436,360
santa_florentina,1,2023-02-07T00:00:00Z,ps_fr,NA,NA,300
tilimuqui,1,2023-02-07T00:00:00Z,ps_fr,NA,NA,300
trinidad,1,2022-12-26T00:00:00Z,ps_fr,5.64422,0.8995604788545664,300
agua_amarga,2,2023-02-13T00:00:00Z,ps_fr,NA,NA,960
chacon,2,2023-01-30T00:00:00Z,ps_fr,NA,NA,600
la_consulta,2,2023-02-07T00:00:00Z,ps_fr,NA,NA,600
los_sauces,2,2023-01-25T00:00:00Z,ps_fr,NA,NA,600
santa_florentina,2,2023-03-16T00:00:00Z,ps_fr,NA,NA,300
tilimuqui,2,2023-03-16T00:00:00Z,ps_fr,NA,NA,450
trinidad,2,2023-01-25T00:00:00Z,ps_fr,9.013387755102041,1.5365182948124103,600
agua_amarga,3,2023-03-13T00:00:00Z,ps_fr,NA,NA,960
chacon,3,2023-02-27T00:00:00Z,ps_fr,NA,NA,600
la_consulta,3,2023-03-06T00:00:00Z,ps_fr,NA,NA,600
los_sauces,3,2023-03-08T00:00:00Z,ps_fr,NA,NA,600
santa_florentina,3,2023-04-01T00:00:00Z,ps_fr,13.55,1.7942782109920916,450
trinidad,3,2023-02-27T00:00:00Z,ps_fr,11.4006,1.476523549640215,600
agua_amarga,4,2023-03-24T00:00:00Z,ps_fr,10.47744,1.6239199781377416,1440
chacon,4,2023-04-10T00:00:00Z,ps_fr,9.85135135135135,1.4309614040673668,900
la_consulta,4,2023-04-13T00:00:00Z,ps_fr,12.16027397260274,1.3882876922775274,900
los_sauces,4,2023-03-29T00:00:00Z,ps_fr,15.386666666666667,2.445030412771259,750
trinidad,4,2023-03-30T00:00:00Z,ps_fr,5.26696,0.7107465562990579,600
