"";"sitio";"id_planta";"fruto";"fecha";"muestreo";"d1";"long";"pf_fr";"ps_fr";"pf_sem";"ps_sem";"d_sem";"l_sem";"p_36h_sem";"hilera";"planta";"d2";"diam_medio";"ps_cas"
"133";"los_sauces";"7_26";3;2023-01-25;2;45,7;51,5;56,666;NA;7,3;2,018;NA;NA;NA;NA;NA;NA;NA;NA
"134";"los_sauces";"7_26";4;2023-01-25;2;40,9;45,5;42,98;NA;5,1;1,685;NA;NA;NA;NA;NA;NA;NA;NA
"135";"los_sauces";"7_26";5;2023-01-25;2;41,7;47,8;46,3;NA;4,6;1,376;NA;NA;NA;NA;NA;NA;NA;NA
"136";"los_sauces";"7_26";6;2023-01-25;2;42,4;48,2;48,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"137";"los_sauces";"7_26";7;2023-01-25;2;43,3;49,1;49,76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"138";"los_sauces";"7_26";8;2023-01-25;2;40,1;45,8;36,32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"139";"los_sauces";"7_26";9;2023-01-25;2;43,6;48,4;50,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"140";"los_sauces";"7_26";10;2023-01-25;2;38,4;45,1;36,14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"141";"los_sauces";"10_4";1;2023-01-25;2;42,8;46,3;45,51;NA;5,7;1,306;NA;NA;NA;NA;NA;NA;NA;NA
"142";"los_sauces";"10_4";2;2023-01-25;2;41,3;47,2;45,05;NA;4,8;1,374;NA;NA;NA;NA;NA;NA;NA;NA
"143";"los_sauces";"10_4";3;2023-01-25;2;41,8;46,9;46,75;NA;5,1;1,427;NA;NA;NA;NA;NA;NA;NA;NA
"144";"los_sauces";"10_4";4;2023-01-25;2;38,6;43,3;33,82;NA;4,1;0,968;NA;NA;NA;NA;NA;NA;NA;NA
"145";"los_sauces";"10_4";5;2023-01-25;2;37,6;42,8;32,26;NA;4,7;1,039;NA;NA;NA;NA;NA;NA;NA;NA
"146";"los_sauces";"10_4";6;2023-01-25;2;43,8;48,5;50,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"147";"los_sauces";"10_4";7;2023-01-25;2;40;44,3;38,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"148";"los_sauces";"10_4";8;2023-01-25;2;33,9;42,3;26,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"149";"los_sauces";"10_4";9;2023-01-25;2;37,9;44,3;34,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"150";"los_sauces";"10_4";10;2023-01-25;2;37,4;42,1;34,87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"151";"los_sauces";"10_6";1;2023-01-25;2;43,8;49,6;51,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"152";"los_sauces";"10_6";2;2023-01-25;2;41,4;44,3;39,79;NA;4,148;NA;NA;NA;NA;NA;NA;NA;NA;NA
